id,event,event_type,start_date,end_date,applies_to,term,source_chunk_id
1,Even Semester 2025-26 classes begin,term,2026-01-05,,all,2025-26-EVEN,
2,Uttarayan holiday,holiday,2026-01-14,2026-01-15,all,2025-26-EVEN,
3,Republic Day,holiday,2026-01-26,,all,2025-26-EVEN,
4,Even-sem mid-term break,break,2026-03-09,2026-03-14,all,2025-26-EVEN,
5,Holi / Dhuleti holiday,holiday,2026-03-04,,all,2025-26-EVEN,
6,Even Semester 2025-26 classes end,term,2026-05-08,,all,2025-26-EVEN,
7,Even Semester end-term examinations,exam,2026-05-11,2026-05-22,all,2025-26-EVEN,
8,Even Semester 2025-26 results declared,result,2026-06-09,,all,2025-26-EVEN,
9,First-year orientation programme,orientation,2026-06-02,2026-06-13,semester-1,2025-26-EVEN,
10,Odd Semester 2026-27 classes begin,term,2026-06-16,,all,2026-27-ODD,
11,Course registration / add-drop window,registration,2026-06-16,2026-06-27,all,2026-27-ODD,
12,Independence Day,holiday,2026-08-15,,all,2026-27-ODD,
13,Raksha Bandhan holiday,holiday,2026-08-26,,all,2026-27-ODD,
14,Internal Test 1,exam,2026-08-20,2026-08-25,all,2026-27-ODD,
15,Odd Semester fee payment last date,fee,2026-09-12,,all,2026-27-ODD,
16,Janmashtami holiday,holiday,2026-09-05,,all,2026-27-ODD,
17,Internal Test 2,exam,2026-09-21,2026-09-26,all,2026-27-ODD,
18,Gandhi Jayanti,holiday,2026-10-02,,all,2026-27-ODD,
19,Dussehra holiday,holiday,2026-10-20,,all,2026-27-ODD,
20,End-semester examination form submission,registration,2026-10-12,2026-10-20,all,2026-27-ODD,
21,Diwali vacation,break,2026-11-07,2026-11-15,all,2026-27-ODD,
22,Odd Semester 2026-27 classes end,term,2026-11-06,,all,2026-27-ODD,
23,Odd Semester end-term examinations,exam,2026-11-17,2026-11-28,all,2026-27-ODD,
24,Odd Semester 2026-27 results declared,result,2026-12-18,,all,2026-27-ODD,
25,Annual convocation,orientation,2026-12-20,,all,2026-27-ODD,
