id,offering_id,subject_code,term,type,title,max_marks,weightage_pct,due_date,status
1,1,24INT151,2026-27-ODD,Term-Work,Term Work Evaluation,100,100,2026-10-01,scheduled
2,2,24MA202T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
3,2,24MA202T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
4,2,24MA202T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
5,2,24MA202T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
6,2,24MA202T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
7,2,24MA202T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
8,3,24CS201T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
9,3,24CS201T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
10,3,24CS201T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
11,3,24CS201T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
12,3,24CS201T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
13,3,24CS201T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
14,4,24CS201P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
15,4,24CS201P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
16,5,24CS201P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-18,graded
17,5,24CS201P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-10,scheduled
18,6,24CS202T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
19,6,24CS202T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
20,6,24CS202T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
21,6,24CS202T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
22,6,24CS202T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
23,6,24CS202T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
24,7,24CS203T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
25,7,24CS203T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
26,7,24CS203T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-23,graded
27,7,24CS203T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
28,7,24CS203T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
29,7,24CS203T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-13,scheduled
30,8,24CS203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
31,8,24CS203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
32,9,24CS203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
33,9,24CS203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-09,scheduled
34,10,24CS204T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
35,10,24CS204T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
36,10,24CS204T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
37,10,24CS204T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
38,10,24CS204T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
39,10,24CS204T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
40,11,24CS204P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
41,11,24CS204P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-06,scheduled
42,12,24CS204P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
43,12,24CS204P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-09,scheduled
44,13,24HS101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
45,13,24HS101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
46,13,24HS101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
47,13,24HS101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
48,13,24HS101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
49,13,24HS101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
50,14,24MA101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
51,14,24MA101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
52,14,24MA101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
53,14,24MA101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
54,14,24MA101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
55,14,24MA101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-16,scheduled
56,15,24PH102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
57,15,24PH102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-07,graded
58,15,24PH102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
59,15,24PH102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
60,15,24PH102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
61,15,24PH102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
62,16,24PH102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-18,graded
63,16,24PH102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
64,17,24PH102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
65,17,24PH102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
66,18,24CV101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
67,18,24CV101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
68,18,24CV101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
