id,session_id,student_id,status
1,1,1,present
2,1,2,present
3,1,3,present
4,1,4,present
5,1,5,present
6,1,6,present
7,1,7,present
8,1,8,present
9,1,9,present
10,1,10,present
11,1,11,present
12,1,12,absent
13,1,13,present
14,1,14,present
15,1,15,present
16,1,16,present
17,1,17,present
18,1,18,present
19,1,19,present
20,1,20,present
21,1,21,present
22,1,22,present
23,2,1,present
24,2,2,present
25,2,3,present
26,2,4,present
27,2,5,present
28,2,6,present
29,2,7,present
30,2,8,present
31,2,9,present
32,2,10,present
33,2,11,present
34,2,12,late
35,2,13,present
36,2,14,present
37,2,15,present
38,2,16,present
39,2,17,present
40,2,18,present
41,2,19,absent
42,2,20,present
43,2,21,late
44,2,22,present
45,3,1,present
46,3,2,present
47,3,3,present
48,3,4,present
49,3,5,present
50,3,6,present
51,3,7,present
52,3,8,present
53,3,9,present
54,3,10,present
55,3,11,present
56,3,12,present
57,3,13,present
58,3,14,present
59,3,15,present
60,3,16,present
61,3,17,present
62,3,18,present
63,3,19,present
64,3,20,present
65,3,21,present
66,3,22,present
67,4,1,present
68,4,2,present
69,4,3,present
70,4,4,present
71,4,5,present
72,4,6,late
73,4,7,excused
74,4,8,present
75,4,9,absent
76,4,10,absent
77,4,11,present
78,4,12,present
79,4,13,absent
80,4,14,present
81,4,15,present
82,4,16,present
83,4,17,present
84,4,18,present
85,4,19,present
86,4,20,present
87,4,21,absent
88,4,22,present
89,5,1,present
90,5,2,late
91,5,3,present
92,5,4,present
93,5,5,absent
94,5,6,present
95,5,7,present
96,5,8,present
97,5,9,present
98,5,10,present
99,5,11,present
100,5,12,present
101,5,13,present
102,5,14,present
103,5,15,absent
104,5,16,present
105,5,17,absent
106,5,18,present
107,5,19,present
108,5,20,present
109,5,21,present
110,5,22,absent
111,6,1,present
112,6,2,present
113,6,3,present
114,6,4,present
115,6,5,present
116,6,6,present
117,6,7,absent
118,6,8,present
119,6,9,present
120,6,10,present
121,6,11,absent
122,6,12,present
123,6,13,absent
124,6,14,present
125,6,15,present
126,6,16,present
127,6,17,present
128,6,18,present
129,6,19,present
130,6,20,present
131,6,21,present
132,6,22,absent
133,7,1,present
134,7,2,present
135,7,3,present
136,7,4,present
137,7,5,present
138,7,6,present
139,7,7,present
140,7,8,present
141,7,9,present
142,7,10,present
143,7,11,present
144,7,12,present
145,7,13,present
146,7,14,present
147,7,15,present
148,7,16,present
149,7,17,present
150,7,18,present
151,7,19,present
152,7,20,present
153,7,21,present
154,7,22,present
155,8,1,present
156,8,2,present
157,8,3,present
158,8,4,present
159,8,5,present
160,8,6,present
161,8,7,present
162,8,8,late
163,8,9,present
164,8,10,present
165,8,11,present
166,8,12,present
167,8,13,present
168,8,14,present
169,8,15,present
170,8,16,present
171,8,17,present
172,8,18,present
173,8,19,present
174,8,20,present
175,8,21,present
176,8,22,present
177,9,1,present
178,9,2,present
179,9,3,present
180,9,4,present
181,9,5,absent
182,9,6,present
183,9,7,absent
184,9,8,present
185,9,9,present
186,9,10,present
187,9,11,present
188,9,12,absent
189,9,13,present
190,9,14,present
191,9,15,present
192,9,16,present
193,9,17,present
194,9,18,absent
195,9,19,present
196,9,20,present
197,9,21,present
198,9,22,present
199,10,1,present
200,10,2,present
201,10,3,present
202,10,4,present
203,10,5,present
204,10,6,excused
205,10,7,present
206,10,8,present
207,10,9,present
208,10,10,present
209,10,11,present
210,10,12,present
211,10,13,present
212,10,14,present
213,10,15,present
214,10,16,present
215,10,17,present
216,10,18,present
217,10,19,present
218,10,20,excused
219,10,21,present
220,10,22,present
221,11,1,present
222,11,2,present
223,11,3,absent
224,11,4,present
225,11,5,present
226,11,6,present
227,11,7,present
228,11,8,excused
229,11,9,present
230,11,10,present
231,11,11,present
232,11,12,present
233,11,13,present
234,11,14,present
235,11,15,present
236,11,16,present
237,11,17,present
238,11,18,present
239,11,19,present
240,11,20,present
241,11,21,present
242,11,22,present
243,12,1,present
244,12,2,present
245,12,3,present
246,12,4,absent
247,12,5,present
248,12,6,present
249,12,7,present
250,12,8,present
251,12,9,absent
252,12,10,present
253,12,11,present
254,12,12,present
255,12,13,late
256,12,14,present
257,12,15,present
258,12,16,present
259,12,17,absent
260,12,18,present
261,12,19,absent
262,12,20,present
263,12,21,present
264,12,22,present
265,13,1,present
266,13,2,present
267,13,3,present
268,13,4,present
269,13,5,present
270,13,6,present
271,13,7,present
272,13,8,present
273,13,9,present
274,13,10,present
275,13,11,present
276,13,12,present
277,13,13,present
278,13,14,present
279,13,15,present
280,13,16,present
281,13,17,present
282,13,18,present
283,13,19,present
284,13,20,present
285,13,21,absent
286,13,22,present
287,14,1,present
288,14,2,present
289,14,3,present
290,14,4,present
291,14,5,present
292,14,6,present
293,14,7,present
294,14,8,present
295,14,9,late
296,14,10,present
297,14,11,late
298,14,12,present
299,14,13,present
300,14,14,present
301,14,15,absent
302,14,16,present
303,14,17,present
304,14,18,present
305,14,19,present
306,14,20,present
307,14,21,present
308,14,22,present
309,15,1,present
310,15,2,present
311,15,3,present
312,15,4,present
313,15,5,absent
314,15,6,present
315,15,7,present
316,15,8,present
317,15,9,present
318,15,10,present
319,15,11,absent
320,15,12,present
321,15,13,present
322,15,14,present
323,15,15,present
324,15,16,present
325,15,17,present
326,15,18,present
327,15,19,present
328,15,20,present
329,15,21,present
330,15,22,present
331,16,1,present
332,16,2,present
333,16,3,present
334,16,4,present
335,16,5,present
336,16,6,absent
337,16,7,present
338,16,8,present
339,16,9,present
340,16,10,present
341,16,11,present
342,16,12,present
343,16,13,absent
344,16,14,present
345,16,15,present
346,16,16,present
347,16,17,present
348,16,18,present
349,16,19,present
350,16,20,present
351,16,21,present
352,16,22,present
353,17,1,present
354,17,2,present
355,17,3,present
356,17,4,present
357,17,5,present
358,17,6,present
359,17,7,present
360,17,8,present
361,17,9,excused
362,17,10,present
363,17,11,present
364,17,12,present
365,17,13,present
366,17,14,absent
367,17,15,present
368,17,16,present
369,17,17,present
370,17,18,present
371,17,19,present
372,17,20,present
373,17,21,present
374,17,22,present
375,18,1,present
376,18,2,absent
377,18,3,present
378,18,4,present
379,18,5,absent
380,18,6,present
381,18,7,absent
382,18,8,present
383,18,9,present
384,18,10,present
385,18,11,present
386,18,12,present
387,18,13,present
388,18,14,present
389,18,15,absent
390,18,16,present
