id,subject_code,subject_name,dept_id,dept_code,term,semester,batch,faculty_id,session_type,division,lab_group,capacity
1,24INT151,Civic and Social Service Internship,1,CP,2026-27-ODD,3,2025,26,Project,All,,22
2,24MA202T,Discrete Mathematics,1,CP,2026-27-ODD,3,2025,27,Theory,1,,22
3,24CS201T,Database Management System,1,CP,2026-27-ODD,3,2025,2,Theory,1,,22
4,24CS201P,Database Management System Laboratory,1,CP,2026-27-ODD,3,2025,2,Lab,,G1,11
5,24CS201P,Database Management System Laboratory,1,CP,2026-27-ODD,3,2025,4,Lab,,G2,11
6,24CS202T,Digital Logic and Design,1,CP,2026-27-ODD,3,2025,2,Theory,1,,22
7,24CS203T,Data Structures,1,CP,2026-27-ODD,3,2025,1,Theory,1,,22
8,24CS203P,Data Structures Laboratory,1,CP,2026-27-ODD,3,2025,1,Lab,,G1,11
9,24CS203P,Data Structures Laboratory,1,CP,2026-27-ODD,3,2025,1,Lab,,G2,11
10,24CS204T,Object Oriented Programming,1,CP,2026-27-ODD,3,2025,1,Theory,1,,22
11,24CS204P,Object Oriented Programming Laboratory,1,CP,2026-27-ODD,3,2025,1,Lab,,G1,11
12,24CS204P,Object Oriented Programming Laboratory,1,CP,2026-27-ODD,3,2025,4,Lab,,G2,11
13,24HS101T,English Communication,1,CP,2026-27-ODD,1,2026,26,Theory,1,,22
14,24MA101T,Mathematics - I,1,CP,2026-27-ODD,1,2026,26,Theory,1,,22
15,24PH102T,Engineering Physics,1,CP,2026-27-ODD,1,2026,25,Theory,1,,22
16,24PH102P,Engineering Physics Laboratory,1,CP,2026-27-ODD,1,2026,26,Lab,,G1,11
17,24PH102P,Engineering Physics Laboratory,1,CP,2026-27-ODD,1,2026,25,Lab,,G2,11
18,24CV101T,Environmental Science,1,CP,2026-27-ODD,1,2026,18,Theory,1,,22
19,24ME101P,Workshop Practices,1,CP,2026-27-ODD,1,2026,16,Lab,,G1,11
20,24ME101P,Workshop Practices,1,CP,2026-27-ODD,1,2026,15,Lab,,G2,11
21,24ME102P,Engineering Graphics,1,CP,2026-27-ODD,1,2026,13,Lab,,G1,11
22,24ME102P,Engineering Graphics,1,CP,2026-27-ODD,1,2026,16,Lab,,G2,11
23,24CP101T,Computer Programming - I,1,CP,2026-27-ODD,1,2026,4,Theory,1,,22
24,24CP101P,Computer Programming - I Laboratory,1,CP,2026-27-ODD,1,2026,1,Lab,,G1,11
25,24CP101P,Computer Programming - I Laboratory,1,CP,2026-27-ODD,1,2026,1,Lab,,G2,11
26,24HS102T,Universal Human Values,1,CP,2026-27-ODD,1,2026,28,Theory,1,,22
27,24HS103T,Indian Knowledge System,1,CP,2026-27-ODD,1,2026,25,Theory,1,,22
28,24INT151,Civic and Social Service Internship,2,IT,2026-27-ODD,3,2025,25,Project,All,,10
29,24IT201T,Introduction to Artificial Intelligence,2,IT,2026-27-ODD,3,2025,7,Theory,1,,10
30,24IT202T,Digital Circuits,2,IT,2026-27-ODD,3,2025,7,Theory,1,,10
31,24IT202P,Digital Circuits Laboratory,2,IT,2026-27-ODD,3,2025,5,Lab,,H1,5
32,24IT202P,Digital Circuits Laboratory,2,IT,2026-27-ODD,3,2025,8,Lab,,H2,5
33,24IT203T,Data Structures and Algorithms,2,IT,2026-27-ODD,3,2025,6,Theory,1,,10
34,24IT203P,Data Structures and Algorithms Laboratory,2,IT,2026-27-ODD,3,2025,5,Lab,,H1,5
35,24IT203P,Data Structures and Algorithms Laboratory,2,IT,2026-27-ODD,3,2025,5,Lab,,H2,5
