id,dept_id,dept_code,semester,subject_code,subject_name,category,is_elective
1,1,CP,1,24HS101T,English Communication,HSC,False
2,1,CP,1,24MA101T,Mathematics - I,BSC,False
3,1,CP,1,24PH102T,Engineering Physics,BSC,False
4,1,CP,1,24PH102P,Engineering Physics Laboratory,BSC,False
5,1,CP,1,24CV101T,Environmental Science,BSC,False
6,1,CP,1,24ME101P,Workshop Practices,ESC,False
7,1,CP,1,24ME102P,Engineering Graphics,ESC,False
8,1,CP,1,24CP101T,Computer Programming - I,ESC,False
9,1,CP,1,24CP101P,Computer Programming - I Laboratory,ESC,False
10,1,CP,1,24HS102T,Universal Human Values,HSC,False
11,1,CP,1,24HS103T,Indian Knowledge System,HSC,False
12,1,CP,2,24HS105T,Professional Communication,HSC,False
13,1,CP,2,24MA103T,Mathematics - II,BSC,False
14,1,CP,2,24CH101T,Engineering Chemistry,BSC,False
15,1,CP,2,24CH101P,Engineering Chemistry Laboratory,BSC,False
16,1,CP,2,24EE101T,Elements of Electrical and Electronics Engineering,ESC,False
17,1,CP,2,24EE101P,Elements of Electrical and Electronics Engineering Laboratory,ESC,False
18,1,CP,2,24BT101T,Biological Systems for Engineers,BSC,False
19,1,CP,2,24YOG101,"Yoga, Health & Hygiene",HSC,False
20,1,CP,2,24NCC101,National Cadet Corps (NCC),HSC,False
21,1,CP,2,24NSS101,National Service Scheme (NSS),HSC,False
22,1,CP,2,24HS104T,Organizational Behaviour,HSC,False
23,1,CP,2,24CP102T,Computer Programming - II,ESC,False
24,1,CP,2,24CP102P,Computer Programming - II Laboratory,ESC,False
25,1,CP,3,24INT151,Civic and Social Service Internship,PRO,False
26,1,CP,3,24MA202T,Discrete Mathematics,BSC,False
27,1,CP,3,24CS201T,Database Management System,PC,False
28,1,CP,3,24CS201P,Database Management System Laboratory,PC,False
29,1,CP,3,24CS202T,Digital Logic and Design,PC,False
30,1,CP,3,24CS203T,Data Structures,PC,False
31,1,CP,3,24CS203P,Data Structures Laboratory,PC,False
32,1,CP,3,24CS204T,Object Oriented Programming,PC,False
33,1,CP,3,24CS204P,Object Oriented Programming Laboratory,PC,False
34,1,CP,4,24OE201T,Open Elective 1 (From Other School),OE,True
35,1,CP,4,24CS205P,Design Thinking,PC,False
36,1,CP,4,24CS206T,Probability and Statistics Theory,PC,False
37,1,CP,4,24CS207T,Computer Organization and Architecture,PC,False
38,1,CP,4,24CS208T,Software Engineering,PC,False
39,1,CP,4,24CS208P,Software Engineering Laboratory,PC,False
40,1,CP,4,24CS209T,Theory of Computation,PC,False
41,1,CP,4,24CS210T,Design and Analysis of Algorithm,PC,False
42,1,CP,4,24CS210P,Design and Analysis of Algorithm Laboratory,PC,False
43,1,CP,5,MOOC,NPTEL / SWAYAM / MOOC Course,OE,True
44,1,CP,5,24CS301T,Introduction to Artificial Intelligence,ESC,False
45,1,CP,5,24HS301T,Engineering Economics,HSC,False
46,1,CP,5,24CS331T,Data Mining and Data Warehousing,PE,True
47,1,CP,5,24CS302T,Computer Networks,PC,False
