id,student_id,offering_id,subject_code,term,status,enrolled_on
1,1,1,24INT151,2026-27-ODD,enrolled,2026-06-16
2,1,2,24MA202T,2026-27-ODD,enrolled,2026-06-16
3,1,3,24CS201T,2026-27-ODD,enrolled,2026-06-16
4,1,4,24CS201P,2026-27-ODD,enrolled,2026-06-16
5,1,6,24CS202T,2026-27-ODD,enrolled,2026-06-16
6,1,7,24CS203T,2026-27-ODD,enrolled,2026-06-16
7,1,8,24CS203P,2026-27-ODD,enrolled,2026-06-16
8,1,10,24CS204T,2026-27-ODD,enrolled,2026-06-16
9,1,11,24CS204P,2026-27-ODD,enrolled,2026-06-16
10,1,153,24HS105T,2025-26-EVEN,enrolled,2026-01-05
11,1,154,24MA103T,2025-26-EVEN,enrolled,2026-01-05
12,1,155,24CH101T,2025-26-EVEN,enrolled,2026-01-05
13,1,156,24CH101P,2025-26-EVEN,enrolled,2026-01-05
14,1,158,24EE101T,2025-26-EVEN,enrolled,2026-01-05
15,1,159,24EE101P,2025-26-EVEN,enrolled,2026-01-05
16,1,161,24BT101T,2025-26-EVEN,enrolled,2026-01-05
17,1,162,24YOG101,2025-26-EVEN,enrolled,2026-01-05
18,1,163,24NCC101,2025-26-EVEN,enrolled,2026-01-05
19,1,164,24NSS101,2025-26-EVEN,enrolled,2026-01-05
20,1,165,24HS104T,2025-26-EVEN,enrolled,2026-01-05
21,1,166,24CP102T,2025-26-EVEN,enrolled,2026-01-05
22,1,167,24CP102P,2025-26-EVEN,enrolled,2026-01-05
23,2,1,24INT151,2026-27-ODD,enrolled,2026-06-16
24,2,2,24MA202T,2026-27-ODD,enrolled,2026-06-16
25,2,3,24CS201T,2026-27-ODD,enrolled,2026-06-16
26,2,4,24CS201P,2026-27-ODD,enrolled,2026-06-16
27,2,6,24CS202T,2026-27-ODD,enrolled,2026-06-16
28,2,7,24CS203T,2026-27-ODD,enrolled,2026-06-16
29,2,8,24CS203P,2026-27-ODD,enrolled,2026-06-16
30,2,10,24CS204T,2026-27-ODD,enrolled,2026-06-16
31,2,11,24CS204P,2026-27-ODD,enrolled,2026-06-16
32,2,153,24HS105T,2025-26-EVEN,enrolled,2026-01-05
33,2,154,24MA103T,2025-26-EVEN,enrolled,2026-01-05
34,2,155,24CH101T,2025-26-EVEN,enrolled,2026-01-05
35,2,156,24CH101P,2025-26-EVEN,enrolled,2026-01-05
36,2,158,24EE101T,2025-26-EVEN,enrolled,2026-01-05
37,2,159,24EE101P,2025-26-EVEN,enrolled,2026-01-05
38,2,161,24BT101T,2025-26-EVEN,enrolled,2026-01-05
39,2,162,24YOG101,2025-26-EVEN,enrolled,2026-01-05
40,2,163,24NCC101,2025-26-EVEN,enrolled,2026-01-05
41,2,164,24NSS101,2025-26-EVEN,enrolled,2026-01-05
42,2,165,24HS104T,2025-26-EVEN,enrolled,2026-01-05
43,2,166,24CP102T,2025-26-EVEN,enrolled,2026-01-05
44,2,167,24CP102P,2025-26-EVEN,enrolled,2026-01-05
45,3,1,24INT151,2026-27-ODD,enrolled,2026-06-16
46,3,2,24MA202T,2026-27-ODD,enrolled,2026-06-16
47,3,3,24CS201T,2026-27-ODD,enrolled,2026-06-16
48,3,4,24CS201P,2026-27-ODD,enrolled,2026-06-16
49,3,6,24CS202T,2026-27-ODD,enrolled,2026-06-16
50,3,7,24CS203T,2026-27-ODD,enrolled,2026-06-16
51,3,8,24CS203P,2026-27-ODD,enrolled,2026-06-16
52,3,10,24CS204T,2026-27-ODD,enrolled,2026-06-16
53,3,11,24CS204P,2026-27-ODD,enrolled,2026-06-16
54,3,153,24HS105T,2025-26-EVEN,enrolled,2026-01-05
55,3,154,24MA103T,2025-26-EVEN,enrolled,2026-01-05
56,3,155,24CH101T,2025-26-EVEN,enrolled,2026-01-05
57,3,156,24CH101P,2025-26-EVEN,enrolled,2026-01-05
58,3,158,24EE101T,2025-26-EVEN,enrolled,2026-01-05
59,3,159,24EE101P,2025-26-EVEN,enrolled,2026-01-05
60,3,161,24BT101T,2025-26-EVEN,enrolled,2026-01-05
61,3,162,24YOG101,2025-26-EVEN,enrolled,2026-01-05
62,3,163,24NCC101,2025-26-EVEN,enrolled,2026-01-05
63,3,164,24NSS101,2025-26-EVEN,enrolled,2026-01-05
64,3,165,24HS104T,2025-26-EVEN,enrolled,2026-01-05
65,3,166,24CP102T,2025-26-EVEN,enrolled,2026-01-05
66,3,167,24CP102P,2025-26-EVEN,enrolled,2026-01-05
67,4,1,24INT151,2026-27-ODD,enrolled,2026-06-16
68,4,2,24MA202T,2026-27-ODD,enrolled,2026-06-16
69,4,3,24CS201T,2026-27-ODD,enrolled,2026-06-16
70,4,4,24CS201P,2026-27-ODD,enrolled,2026-06-16
71,4,6,24CS202T,2026-27-ODD,enrolled,2026-06-16
72,4,7,24CS203T,2026-27-ODD,enrolled,2026-06-16
73,4,8,24CS203P,2026-27-ODD,enrolled,2026-06-16
74,4,10,24CS204T,2026-27-ODD,enrolled,2026-06-16
75,4,11,24CS204P,2026-27-ODD,enrolled,2026-06-16
76,4,153,24HS105T,2025-26-EVEN,enrolled,2026-01-05
77,4,154,24MA103T,2025-26-EVEN,enrolled,2026-01-05
78,4,155,24CH101T,2025-26-EVEN,enrolled,2026-01-05
79,4,156,24CH101P,2025-26-EVEN,enrolled,2026-01-05
80,4,158,24EE101T,2025-26-EVEN,enrolled,2026-01-05
81,4,159,24EE101P,2025-26-EVEN,enrolled,2026-01-05
82,4,161,24BT101T,2025-26-EVEN,enrolled,2026-01-05
83,4,162,24YOG101,2025-26-EVEN,enrolled,2026-01-05
84,4,163,24NCC101,2025-26-EVEN,enrolled,2026-01-05
85,4,164,24NSS101,2025-26-EVEN,enrolled,2026-01-05
86,4,165,24HS104T,2025-26-EVEN,enrolled,2026-01-05
87,4,166,24CP102T,2025-26-EVEN,enrolled,2026-01-05
88,4,167,24CP102P,2025-26-EVEN,enrolled,2026-01-05
89,5,1,24INT151,2026-27-ODD,enrolled,2026-06-16
90,5,2,24MA202T,2026-27-ODD,enrolled,2026-06-16
91,5,3,24CS201T,2026-27-ODD,enrolled,2026-06-16
92,5,4,24CS201P,2026-27-ODD,enrolled,2026-06-16
93,5,6,24CS202T,2026-27-ODD,enrolled,2026-06-16
94,5,7,24CS203T,2026-27-ODD,enrolled,2026-06-16
95,5,8,24CS203P,2026-27-ODD,enrolled,2026-06-16
96,5,10,24CS204T,2026-27-ODD,enrolled,2026-06-16
97,5,11,24CS204P,2026-27-ODD,enrolled,2026-06-16
98,5,153,24HS105T,2025-26-EVEN,enrolled,2026-01-05
99,5,154,24MA103T,2025-26-EVEN,enrolled,2026-01-05
