id,term,exam_type,subject_code,subject_name,dept_code,semester,exam_date,start_time,end_time,classroom_id,status
1,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,CP,2,2026-05-19,14:00,16:00,85,completed
2,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,CP,2,2026-05-12,10:00,12:00,83,completed
3,2025-26-EVEN,End-Sem,24CH101T,Engineering Chemistry,CP,2,2026-05-18,10:00,12:00,84,completed
4,2025-26-EVEN,End-Sem,24EE101T,Elements of Electrical and Electronics Engineering,CP,2,2026-05-17,10:00,12:00,84,completed
5,2025-26-EVEN,End-Sem,24BT101T,Biological Systems for Engineers,CP,2,2026-05-16,10:00,12:00,85,completed
6,2025-26-EVEN,End-Sem,24YOG101,"Yoga, Health & Hygiene",CP,2,2026-05-17,14:00,16:00,82,completed
7,2025-26-EVEN,End-Sem,24NCC101,National Cadet Corps (NCC),CP,2,2026-05-13,10:00,12:00,82,completed
8,2025-26-EVEN,End-Sem,24NSS101,National Service Scheme (NSS),CP,2,2026-05-12,10:00,12:00,82,completed
9,2025-26-EVEN,End-Sem,24HS104T,Organizational Behaviour,CP,2,2026-05-17,14:00,16:00,84,completed
10,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,CP,2,2026-05-19,14:00,16:00,82,completed
11,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,IT,2,2026-05-19,14:00,16:00,84,completed
12,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,IT,2,2026-05-12,10:00,12:00,85,completed
13,2025-26-EVEN,End-Sem,24CH101T,Engineering Chemistry,IT,2,2026-05-18,14:00,16:00,84,completed
14,2025-26-EVEN,End-Sem,24EE101T,Elements of Electrical and Electronics Engineering,IT,2,2026-05-17,14:00,16:00,83,completed
15,2025-26-EVEN,End-Sem,24YOG101,"Yoga, Health & Hygiene",IT,2,2026-05-17,10:00,12:00,82,completed
16,2025-26-EVEN,End-Sem,24NCC101,National Cadet Corps (NCC),IT,2,2026-05-13,10:00,12:00,84,completed
17,2025-26-EVEN,End-Sem,24NSS101,National Service Scheme (NSS),IT,2,2026-05-12,14:00,16:00,85,completed
18,2025-26-EVEN,End-Sem,24HS104T,Organizational Behaviour,IT,2,2026-05-17,10:00,12:00,83,completed
19,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,IT,2,2026-05-19,10:00,12:00,85,completed
20,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,EC,2,2026-05-19,14:00,16:00,83,completed
21,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,EC,2,2026-05-12,14:00,16:00,84,completed
22,2025-26-EVEN,End-Sem,24CH101T,Engineering Chemistry,EC,2,2026-05-18,14:00,16:00,82,completed
23,2025-26-EVEN,End-Sem,24EE101T,Elements of Electrical and Electronics Engineering,EC,2,2026-05-17,10:00,12:00,83,completed
24,2025-26-EVEN,End-Sem,24YOG101,"Yoga, Health & Hygiene",EC,2,2026-05-17,10:00,12:00,85,completed
25,2025-26-EVEN,End-Sem,24NCC101,National Cadet Corps (NCC),EC,2,2026-05-13,10:00,12:00,83,completed
26,2025-26-EVEN,End-Sem,24NSS101,National Service Scheme (NSS),EC,2,2026-05-12,10:00,12:00,85,completed
27,2025-26-EVEN,End-Sem,24HS104T,Organizational Behaviour,EC,2,2026-05-17,14:00,16:00,83,completed
28,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,EC,2,2026-05-19,10:00,12:00,84,completed
29,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,ME,2,2026-05-12,10:00,12:00,84,completed
30,2025-26-EVEN,End-Sem,24CH101T,Engineering Chemistry,ME,2,2026-05-18,14:00,16:00,83,completed
31,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,ME,2,2026-05-19,14:00,16:00,85,completed
32,2025-26-EVEN,End-Sem,24EE101T,Elements of Electrical and Electronics Engineering,ME,2,2026-05-17,14:00,16:00,82,completed
33,2025-26-EVEN,End-Sem,24HS103T,Indian Knowledge System,ME,2,2026-05-15,14:00,16:00,83,completed
34,2025-26-EVEN,End-Sem,24HS104T,Organizational Behaviour,ME,2,2026-05-17,10:00,12:00,84,completed
35,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,ME,2,2026-05-19,10:00,12:00,84,completed
36,2025-26-EVEN,End-Sem,24YOG101,"Yoga, Health & Hygiene",ME,2,2026-05-17,14:00,16:00,84,completed
37,2025-26-EVEN,End-Sem,24NSS101,National Service Scheme (NSS),ME,2,2026-05-12,10:00,12:00,84,completed
38,2025-26-EVEN,End-Sem,24NCC101,National Cadet Corps (NCC),ME,2,2026-05-13,10:00,12:00,82,completed
39,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,CE,2,2026-05-19,10:00,12:00,83,completed
40,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,CE,2,2026-05-12,14:00,16:00,83,completed
41,2025-26-EVEN,End-Sem,24CH101T,Engineering Chemistry,CE,2,2026-05-18,10:00,12:00,82,completed
42,2025-26-EVEN,End-Sem,24EE101T,Elements of Electrical and Electronics Engineering,CE,2,2026-05-17,10:00,12:00,84,completed
43,2025-26-EVEN,End-Sem,24YOG101,"Yoga, Health & Hygiene",CE,2,2026-05-17,14:00,16:00,85,completed
44,2025-26-EVEN,End-Sem,24NCC101,National Cadet Corps (NCC),CE,2,2026-05-13,10:00,12:00,82,completed
45,2025-26-EVEN,End-Sem,24NSS101,National Service Scheme (NSS),CE,2,2026-05-12,10:00,12:00,85,completed
46,2025-26-EVEN,End-Sem,24HS104T,Organizational Behaviour,CE,2,2026-05-17,10:00,12:00,85,completed
47,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,CE,2,2026-05-19,10:00,12:00,85,completed
48,2025-26-EVEN,End-Sem,24HS105T,Professional Communication,CH,2,2026-05-19,10:00,12:00,82,completed
49,2025-26-EVEN,End-Sem,24MA103T,Mathematics - II,CH,2,2026-05-12,10:00,12:00,84,completed
50,2025-26-EVEN,End-Sem,24CP102T,Computer Programming - II,CH,2,2026-05-19,10:00,12:00,83,completed
51,2025-26-EVEN,End-Sem,24PH103T,Modern Physics,CH,2,2026-05-13,10:00,12:00,85,completed
52,2025-26-EVEN,End-Sem,24CV101T,Environmental Science,CH,2,2026-05-11,10:00,12:00,85,completed
53,2025-26-EVEN,End-Sem,24HS102T,Universal Human Values,CH,2,2026-05-21,14:00,16:00,85,completed
54,2025-26-EVEN,End-Sem,24HS103T,Indian Knowledge System,CH,2,2026-05-15,10:00,12:00,84,completed
55,2026-27-ODD,Internal-1,24MA202T,Discrete Mathematics,CP,3,2026-08-22,10:00,11:30,84,completed
56,2026-27-ODD,Internal-1,24CS201T,Database Management System,CP,3,2026-08-23,10:00,11:30,84,completed
57,2026-27-ODD,Internal-1,24CS202T,Digital Logic and Design,CP,3,2026-08-21,10:00,11:30,84,completed
58,2026-27-ODD,Internal-1,24CS203T,Data Structures,CP,3,2026-08-22,10:00,11:30,83,completed
59,2026-27-ODD,Internal-1,24CS204T,Object Oriented Programming,CP,3,2026-08-22,10:00,11:30,82,completed
60,2026-27-ODD,Internal-1,24HS101T,English Communication,CP,1,2026-08-24,10:00,11:30,83,completed
61,2026-27-ODD,Internal-1,24MA101T,Mathematics - I,CP,1,2026-08-20,14:00,15:30,83,completed
62,2026-27-ODD,Internal-1,24PH102T,Engineering Physics,CP,1,2026-08-23,10:00,11:30,82,completed
63,2026-27-ODD,Internal-1,24CV101T,Environmental Science,CP,1,2026-08-24,14:00,15:30,84,completed
64,2026-27-ODD,Internal-1,24CP101T,Computer Programming - I,CP,1,2026-08-20,14:00,15:30,85,completed
65,2026-27-ODD,Internal-1,24HS102T,Universal Human Values,CP,1,2026-08-20,10:00,11:30,85,completed
66,2026-27-ODD,Internal-1,24HS103T,Indian Knowledge System,CP,1,2026-08-20,10:00,11:30,82,completed
67,2026-27-ODD,Internal-1,24IT201T,Introduction to Artificial Intelligence,IT,3,2026-08-21,14:00,15:30,83,completed
68,2026-27-ODD,Internal-1,24IT202T,Digital Circuits,IT,3,2026-08-21,10:00,11:30,85,completed
69,2026-27-ODD,Internal-1,24IT203T,Data Structures and Algorithms,IT,3,2026-08-21,10:00,11:30,82,completed
70,2026-27-ODD,Internal-1,24IT204T,Fundamentals of ICT,IT,3,2026-08-23,10:00,11:30,83,completed
71,2026-27-ODD,Internal-1,24IT205T,Electronics Devices and Circuits,IT,3,2026-08-24,10:00,11:30,84,completed
72,2026-27-ODD,Internal-1,24MA202T,Discrete Mathematics,IT,3,2026-08-22,10:00,11:30,85,completed
73,2026-27-ODD,Internal-1,24HS101T,English Communication,IT,1,2026-08-24,14:00,15:30,83,completed
74,2026-27-ODD,Internal-1,24MA101T,Mathematics - I,IT,1,2026-08-20,10:00,11:30,84,completed
75,2026-27-ODD,Internal-1,24PH102T,Engineering Physics,IT,1,2026-08-23,10:00,11:30,82,completed
76,2026-27-ODD,Internal-1,24CV101T,Environmental Science,IT,1,2026-08-24,10:00,11:30,84,completed
77,2026-27-ODD,Internal-1,24BT102T,Biology for Engineers,IT,1,2026-08-22,10:00,11:30,85,completed
78,2026-27-ODD,Internal-1,24CP101T,Computer Programming - I,IT,1,2026-08-20,10:00,11:30,83,completed
79,2026-27-ODD,Internal-1,24HS102T,Universal Human Values,IT,1,2026-08-20,14:00,15:30,83,completed
80,2026-27-ODD,Internal-1,24HS103T,Indian Knowledge System,IT,1,2026-08-20,10:00,11:30,85,completed
81,2026-27-ODD,Internal-1,24EC201T,Introduction to Artificial Intelligence,EC,3,2026-08-24,10:00,11:30,85,completed
82,2026-27-ODD,Internal-1,24EC202T,Digital Circuits,EC,3,2026-08-20,10:00,11:30,84,completed
83,2026-27-ODD,Internal-1,24EC203T,Electronics Devices and Circuits,EC,3,2026-08-20,14:00,15:30,82,completed
84,2026-27-ODD,Internal-1,24EC204T,Networks and Systems,EC,3,2026-08-23,10:00,11:30,83,completed
85,2026-27-ODD,Internal-1,24MA201T,Mathematics - III,EC,3,2026-08-22,10:00,11:30,85,completed
86,2026-27-ODD,Internal-1,24HS101T,English Communication,EC,1,2026-08-24,10:00,11:30,83,completed
87,2026-27-ODD,Internal-1,24MA101T,Mathematics - I,EC,1,2026-08-20,14:00,15:30,83,completed
88,2026-27-ODD,Internal-1,24PH101T,Applied Physics,EC,1,2026-08-20,10:00,11:30,84,completed
89,2026-27-ODD,Internal-1,24CV101T,Environmental Science,EC,1,2026-08-24,10:00,11:30,83,completed
90,2026-27-ODD,Internal-1,24BT102T,Biology for Engineers,EC,1,2026-08-22,10:00,11:30,83,completed
91,2026-27-ODD,Internal-1,24CP101T,Computer Programming - I,EC,1,2026-08-20,10:00,11:30,83,completed
92,2026-27-ODD,Internal-1,24HS102T,Universal Human Values,EC,1,2026-08-20,14:00,15:30,85,completed
93,2026-27-ODD,Internal-1,24HS103T,Indian Knowledge System,EC,1,2026-08-20,10:00,11:30,85,completed
94,2026-27-ODD,Internal-1,24MA201T,Mathematics - III,ME,3,2026-08-22,14:00,15:30,83,completed
95,2026-27-ODD,Internal-1,24ME201T,Introduction to Artificial Intelligence,ME,3,2026-08-24,10:00,11:30,84,completed
96,2026-27-ODD,Internal-1,24ME202T,Engineering Mechanics,ME,3,2026-08-23,10:00,11:30,84,completed
97,2026-27-ODD,Internal-1,24ME203T,Thermodynamics,ME,3,2026-08-24,10:00,11:30,83,completed
98,2026-27-ODD,Internal-1,24ME204T,Mechanical Measurement and Metrology,ME,3,2026-08-24,10:00,11:30,82,completed
