id,student_id,roll_no,term,amount_due,amount_paid,status,due_date,paid_on
1,1,25BCP001,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
2,1,25BCP001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-09-01
3,2,25BCP002,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-06
4,2,25BCP002,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-05
5,3,25BCP003,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-03
6,3,25BCP003,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-06-30
7,4,25BCP004,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
8,4,25BCP004,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-01
9,5,25BCP005,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-05
10,5,25BCP005,2026-27-ODD,152500,60700.0,partial,2026-09-12,2026-07-06
11,6,25BCP006,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-12
12,6,25BCP006,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-06
13,7,25BCP007,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-11
14,7,25BCP007,2026-27-ODD,214500,0.0,overdue,2026-09-12,
15,8,25BCP008,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-12
16,8,25BCP008,2026-27-ODD,152500,80300.0,partial,2026-09-12,2026-07-01
17,9,25BCP009,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-06
18,9,25BCP009,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-09-05
19,10,25BCP010,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-10
20,10,25BCP010,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-22
21,11,25BCP011,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-10
22,11,25BCP011,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-21
23,12,25BCP012,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-14
24,12,25BCP012,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
25,13,25BCP013,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-03
26,13,25BCP013,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-06-24
27,14,25BCP014,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-08
28,14,25BCP014,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-23
29,15,25BCP015,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-10
30,15,25BCP015,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-09-01
31,16,25BCP016,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
32,16,25BCP016,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-06
33,17,25BIT001,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-07
34,17,25BIT001,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-06-20
35,18,25BIT002,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-08
36,18,25BIT002,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-09
37,19,25BIT003,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-07
38,19,25BIT003,2026-27-ODD,214500,133800.0,partial,2026-09-12,2026-08-18
39,20,25BIT004,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-13
40,20,25BIT004,2026-27-ODD,214500,0.0,overdue,2026-09-12,
41,21,25BIT005,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-11
42,21,25BIT005,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
43,22,25BIT006,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-08
44,22,25BIT006,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-20
45,23,25BIT007,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-10
46,23,25BIT007,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-30
47,24,25BIT008,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
48,24,25BIT008,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-30
49,25,25BIT009,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-10
