id,student_id,roll_no,term,semester,credits_registered,credits_earned,sgpa,cgpa,result_status,backlogs,declared_on
1,1,25BCP001,2025-26-EVEN,2,22,22,10.0,10.0,Pass,0,2026-06-09
2,2,25BCP002,2025-26-EVEN,2,22,22,9.64,9.64,Pass,0,2026-06-09
3,3,25BCP003,2025-26-EVEN,2,22,22,9.32,9.32,Pass,0,2026-06-09
4,4,25BCP004,2025-26-EVEN,2,22,22,8.41,8.41,Pass,0,2026-06-09
5,5,25BCP005,2025-26-EVEN,2,22,22,5.91,5.91,Pass,0,2026-06-09
6,6,25BCP006,2025-26-EVEN,2,22,22,8.59,8.59,Pass,0,2026-06-09
7,7,25BCP007,2025-26-EVEN,2,22,22,9.73,9.73,Pass,0,2026-06-09
8,8,25BCP008,2025-26-EVEN,2,22,22,8.36,8.36,Pass,0,2026-06-09
9,9,25BCP009,2025-26-EVEN,2,22,22,7.0,7.0,Pass,0,2026-06-09
10,10,25BCP010,2025-26-EVEN,2,22,22,8.45,8.45,Pass,0,2026-06-09
11,11,25BCP011,2025-26-EVEN,2,22,22,9.0,9.0,Pass,0,2026-06-09
12,12,25BCP012,2025-26-EVEN,2,22,22,8.45,8.45,Pass,0,2026-06-09
13,13,25BCP013,2025-26-EVEN,2,22,22,7.5,7.5,Pass,0,2026-06-09
14,14,25BCP014,2025-26-EVEN,2,22,22,8.64,8.64,Pass,0,2026-06-09
15,15,25BCP015,2025-26-EVEN,2,22,22,8.55,8.55,Pass,0,2026-06-09
16,16,25BCP016,2025-26-EVEN,2,22,22,9.64,9.64,Pass,0,2026-06-09
17,17,25BCP017,2025-26-EVEN,2,22,22,9.68,9.68,Pass,0,2026-06-09
18,18,25BCP018,2025-26-EVEN,2,22,22,7.55,7.55,Pass,0,2026-06-09
19,19,25BCP019,2025-26-EVEN,2,22,22,8.55,8.55,Pass,0,2026-06-09
20,20,25BCP020,2025-26-EVEN,2,22,22,8.91,8.91,Pass,0,2026-06-09
21,21,25BCP021,2025-26-EVEN,2,22,22,8.23,8.23,Pass,0,2026-06-09
22,22,25BCP022,2025-26-EVEN,2,22,22,9.45,9.45,Pass,0,2026-06-09
23,23,25BIT001,2025-26-EVEN,2,22,22,8.55,8.55,Pass,0,2026-06-09
24,24,25BIT002,2025-26-EVEN,2,22,22,9.95,9.95,Pass,0,2026-06-09
25,25,25BIT003,2025-26-EVEN,2,22,22,9.77,9.77,Pass,0,2026-06-09
26,26,25BIT004,2025-26-EVEN,2,22,22,7.59,7.59,Pass,0,2026-06-09
27,27,25BIT005,2025-26-EVEN,2,22,22,7.41,7.41,Pass,0,2026-06-09
28,28,25BIT006,2025-26-EVEN,2,22,22,8.77,8.77,Pass,0,2026-06-09
29,29,25BIT007,2025-26-EVEN,2,22,22,9.36,9.36,Pass,0,2026-06-09
30,30,25BIT008,2025-26-EVEN,2,22,22,7.27,7.27,Pass,0,2026-06-09
31,31,25BIT009,2025-26-EVEN,2,22,22,8.18,8.18,Pass,0,2026-06-09
32,32,25BIT010,2025-26-EVEN,2,22,22,8.68,8.68,Pass,0,2026-06-09
33,33,25BEC001,2025-26-EVEN,2,22,22,9.41,9.41,Pass,0,2026-06-09
34,34,25BEC002,2025-26-EVEN,2,22,22,9.45,9.45,Pass,0,2026-06-09
35,35,25BEC003,2025-26-EVEN,2,22,22,9.27,9.27,Pass,0,2026-06-09
36,36,25BEC004,2025-26-EVEN,2,22,19,7.59,7.59,ATKT,1,2026-06-09
37,37,25BEC005,2025-26-EVEN,2,22,22,9.27,9.27,Pass,0,2026-06-09
38,38,25BEC006,2025-26-EVEN,2,22,22,7.91,7.91,Pass,0,2026-06-09
39,39,25BME001,2025-26-EVEN,2,22,22,8.55,8.55,Pass,0,2026-06-09
40,40,25BME002,2025-26-EVEN,2,22,22,7.23,7.23,Pass,0,2026-06-09
41,41,25BME003,2025-26-EVEN,2,22,22,10.0,10.0,Pass,0,2026-06-09
42,42,25BME004,2025-26-EVEN,2,22,22,8.77,8.77,Pass,0,2026-06-09
43,43,25BME005,2025-26-EVEN,2,22,22,9.5,9.5,Pass,0,2026-06-09
44,44,25BME006,2025-26-EVEN,2,22,22,9.86,9.86,Pass,0,2026-06-09
45,45,25BCE001,2025-26-EVEN,2,22,22,9.27,9.27,Pass,0,2026-06-09
46,46,25BCE002,2025-26-EVEN,2,22,22,8.64,8.64,Pass,0,2026-06-09
47,47,25BCE003,2025-26-EVEN,2,22,22,9.5,9.5,Pass,0,2026-06-09
48,48,25BCE004,2025-26-EVEN,2,22,22,9.23,9.23,Pass,0,2026-06-09
49,49,25BCE005,2025-26-EVEN,2,22,22,8.18,8.18,Pass,0,2026-06-09
50,50,25BCE006,2025-26-EVEN,2,22,22,9.32,9.32,Pass,0,2026-06-09
51,51,25BCH001,2025-26-EVEN,2,20,20,8.4,8.4,Pass,0,2026-06-09
52,52,25BCH002,2025-26-EVEN,2,20,20,9.5,9.5,Pass,0,2026-06-09
53,53,25BCH003,2025-26-EVEN,2,20,19,7.6,7.6,ATKT,1,2026-06-09
54,54,25BCH004,2025-26-EVEN,2,20,20,8.9,8.9,Pass,0,2026-06-09
55,55,25BCH005,2025-26-EVEN,2,20,20,8.65,8.65,Pass,0,2026-06-09
56,56,25BCH006,2025-26-EVEN,2,20,20,10.0,10.0,Pass,0,2026-06-09
