id,student_id,roll_no,name,amount,term,status,applied_on,decided_on
1,4,25BCP004,Girl Child Education Grant,15000,2026-27-ODD,approved,2026-07-06,2026-08-03
2,6,25BCP006,Merit-cum-Means Scholarship,40000,2026-27-ODD,pending,2026-07-09,
3,10,25BCP010,EWS Tuition Assistance,25000,2026-27-ODD,approved,2026-06-27,2026-08-04
4,12,25BCP012,MYSY (Mukhyamantri Yuva Swavalamban Yojana),50000,2026-27-ODD,pending,2026-06-21,
5,15,25BCP015,EWS Tuition Assistance,25000,2026-27-ODD,pending,2026-06-30,
6,24,25BIT002,SC/ST Post-Matric Scholarship,35000,2026-27-ODD,pending,2026-07-05,
7,32,25BIT010,PDEU Merit Scholarship,30000,2026-27-ODD,rejected,2026-06-21,2026-08-07
8,42,25BME004,MYSY (Mukhyamantri Yuva Swavalamban Yojana),50000,2026-27-ODD,disbursed,2026-06-25,2026-08-03
9,46,25BCE002,Girl Child Education Grant,15000,2026-27-ODD,disbursed,2026-07-04,2026-08-17
10,71,26BCP015,Sports Excellence Scholarship,20000,2026-27-ODD,approved,2026-06-22,2026-08-18
11,72,26BCP016,MYSY (Mukhyamantri Yuva Swavalamban Yojana),50000,2026-27-ODD,approved,2026-08-10,2026-08-23
12,85,26BIT007,SC/ST Post-Matric Scholarship,35000,2026-27-ODD,disbursed,2026-08-10,2026-08-16
13,106,26BCE006,PDEU Merit Scholarship,30000,2026-27-ODD,disbursed,2026-07-22,2026-08-01
14,108,26BCH002,Sports Excellence Scholarship,20000,2026-27-ODD,pending,2026-06-24,
