subject_code,subject_name,category,component,lecture_hours,tutorial_hours,practical_hours,credits
24BT101T,Biological Systems for Engineers,BSC,Theory,2,0,0,2
24BT102T,Biology for Engineers,BSC,Theory,2,0,0,2
24CH101P,Engineering Chemistry Laboratory,BSC,Lab,0,0,2,1
24CH101T,Engineering Chemistry,BSC,Theory,3,0,0,3
24CH201T,Introduction to Artificial Intelligence,ESC,Theory,3,0,0,3
24CH202T,Chemical Process Calculations,PC,Theory,3,1,0,4
24CH203P,Mechanical Unit Operations Lab,PC,Lab,0,0,2,1
24CH203T,Mechanical Unit Operations,PC,Theory,3,0,0,3
24CH204P,Fluid Mechanics Lab,PC,Lab,0,0,2,1
24CH204T,Fluid Mechanics,PC,Theory,3,0,0,3
24CH205P,Chemical Engineering Industry 4.0 Lab,ESC,Lab,0,0,2,1
24CH205T,Chemical Engineering Industry 4.0,ESC,Theory,2,0,0,2
24CH206T,Introduction to Numerical Methods for Chemical Engineers,PC,Theory,3,1,0,4
24CH207P,Chemical Engineering Thermodynamics Lab,PC,Lab,0,0,2,1
24CH207T,Chemical Engineering Thermodynamics,PC,Theory,3,0,0,3
24CH208P,Heat Transfer Lab,PC,Lab,0,0,2,1
24CH208T,Heat Transfer,PC,Theory,3,0,0,3
24CH209P,Chemical Process Technology Lab,PC,Lab,0,0,2,1
24CH209T,Chemical Process Technology,PC,Theory,3,0,0,3
24CH301P,Mass Transfer 1 Lab,PC,Lab,0,0,2,1
24CH301T,Mass Transfer 1,PC,Theory,3,0,0,3
24CH302P,Chemical Reaction Engineering 1 Lab,PC,Lab,0,0,2,1
24CH302T,Chemical Reaction Engineering 1,PC,Theory,3,0,0,3
24CH303P,Process Equipment Design Lab,PC,Lab,0,0,2,1
24CH303T,Process Equipment Design,PC,Theory,3,0,0,3
24CH304P,Instrumentation & Process Control Lab,PC,Lab,0,0,2,1
24CH304T,Instrumentation & Process Control,PC,Theory,3,0,0,3
24CH305P,Mass Transfer 2 Lab,PC,Lab,0,0,2,1
24CH305T,Mass Transfer 2,PC,Theory,3,0,0,3
24CH306P,Chemical Reaction Engineering 2 Lab,PC,Lab,0,0,2,1
24CH306T,Chemical Reaction Engineering 2,PC,Theory,3,0,0,3
24CH331T,Petroleum Refining & Petrochemicals,PE,Theory,3,0,0,3
24CH332T,Renewable Energy Engineering,PE,Theory,3,0,0,3
24CH333T,Sustainability & Green Chemistry,PE,Theory,3,0,0,3
24CH334T,Piping Design,PE,Theory,3,0,0,3
24CH335T,Corrosion Engineering,PE,Theory,3,0,0,3
24CH336T,Material Science & Engineering,PE,Theory,3,0,0,3
24CH337T,Nano Technology & Energy Storage,PE,Theory,3,0,0,3
24CH338T,Membrane Processes,PE,Theory,3,0,0,3
