id,offering_id,day_of_week,start_time,end_time,classroom_id,session_type
1,2,0,11:15,12:15,1,Theory
2,2,2,14:00,15:00,1,Theory
3,2,3,16:15,17:15,1,Theory
4,3,1,16:15,17:15,1,Theory
5,3,2,10:00,11:00,1,Theory
6,3,4,10:00,11:00,1,Theory
7,4,1,11:15,13:15,11,Lab
8,5,2,14:00,16:00,11,Lab
9,6,0,14:00,15:00,1,Theory
10,6,2,12:15,13:15,1,Theory
11,6,4,15:00,16:00,1,Theory
12,7,1,10:00,11:00,1,Theory
13,7,3,11:15,12:15,1,Theory
14,7,5,09:00,10:00,1,Theory
15,8,1,14:00,16:00,11,Lab
16,9,2,09:00,11:00,11,Lab
17,10,0,12:15,13:15,1,Theory
18,10,3,12:15,13:15,1,Theory
19,10,4,11:15,12:15,1,Theory
20,11,4,14:00,16:00,11,Lab
21,12,1,09:00,11:00,11,Lab
22,13,1,12:15,13:15,1,Theory
23,13,3,14:00,15:00,1,Theory
24,14,0,12:15,13:15,2,Theory
25,14,2,09:00,10:00,1,Theory
26,14,3,16:15,17:15,2,Theory
27,15,1,14:00,15:00,1,Theory
28,15,2,16:15,17:15,1,Theory
29,15,4,14:00,15:00,1,Theory
30,16,1,11:15,13:15,12,Lab
31,17,2,14:00,16:00,12,Lab
32,18,0,14:00,15:00,2,Theory
33,18,2,15:00,16:00,1,Theory
34,19,4,11:15,13:15,11,Lab
35,20,1,14:00,16:00,12,Lab
36,21,2,09:00,11:00,12,Lab
37,22,3,11:15,13:15,11,Lab
38,23,1,09:00,10:00,1,Theory
39,24,1,09:00,11:00,12,Lab
40,25,2,11:15,13:15,11,Lab
41,26,0,09:00,10:00,1,Theory
42,27,1,15:00,16:00,1,Theory
43,27,2,10:00,11:00,2,Theory
44,29,1,14:00,15:00,19,Theory
45,29,3,14:00,15:00,19,Theory
46,29,4,14:00,15:00,19,Theory
47,30,0,10:00,11:00,19,Theory
48,30,2,10:00,11:00,19,Theory
49,30,4,12:15,13:15,19,Theory
50,31,4,11:15,13:15,26,Lab
51,32,1,14:00,16:00,26,Lab
52,33,1,16:15,17:15,19,Theory
53,33,2,12:15,13:15,19,Theory
54,33,4,10:00,11:00,19,Theory
55,34,3,11:15,13:15,26,Lab
56,35,4,14:00,16:00,26,Lab
57,36,0,14:00,15:00,19,Theory
58,36,2,15:00,16:00,19,Theory
59,37,1,09:00,10:00,19,Theory
60,37,3,10:00,11:00,19,Theory
61,38,0,11:15,12:15,19,Theory
62,38,2,09:00,10:00,19,Theory
63,38,3,16:15,17:15,19,Theory
64,39,1,11:15,12:15,19,Theory
65,39,2,09:00,10:00,20,Theory
66,40,0,11:15,12:15,20,Theory
67,40,3,15:00,16:00,19,Theory
68,40,4,14:00,15:00,20,Theory
69,41,1,09:00,10:00,20,Theory
70,41,3,12:15,13:15,19,Theory
71,41,4,10:00,11:00,20,Theory
72,42,3,09:00,11:00,26,Lab
73,43,4,11:15,13:15,27,Lab
74,44,0,14:00,15:00,20,Theory
75,44,2,16:15,17:15,19,Theory
76,45,2,09:00,11:00,26,Lab
77,46,3,11:15,13:15,27,Lab
78,47,1,16:15,17:15,20,Theory
79,47,3,16:15,17:15,20,Theory
80,48,0,16:15,17:15,19,Theory
81,49,2,11:15,13:15,26,Lab
82,50,3,14:00,16:00,26,Lab
83,51,1,14:00,15:00,20,Theory
84,52,0,09:00,10:00,19,Theory
85,52,3,11:15,12:15,19,Theory
86,54,0,12:15,13:15,32,Theory
87,54,2,10:00,11:00,32,Theory
88,54,4,12:15,13:15,32,Theory
89,55,1,15:00,16:00,32,Theory
90,55,3,14:00,15:00,32,Theory
91,55,5,15:00,16:00,32,Theory
92,56,1,14:00,16:00,38,Lab
93,57,2,09:00,11:00,38,Lab
94,58,0,10:00,11:00,32,Theory
95,58,3,12:15,13:15,32,Theory
96,58,4,09:00,10:00,32,Theory
97,59,4,14:00,16:00,38,Lab
98,60,1,09:00,11:00,38,Lab
99,61,1,10:00,11:00,32,Theory
100,61,3,15:00,16:00,32,Theory
101,61,5,16:15,17:15,32,Theory
102,62,0,09:00,10:00,32,Theory
103,62,2,14:00,15:00,32,Theory
104,62,3,16:15,17:15,32,Theory
105,63,1,14:00,15:00,32,Theory
106,63,2,11:15,12:15,32,Theory
107,64,0,09:00,10:00,33,Theory
108,64,3,09:00,10:00,32,Theory
109,64,4,15:00,16:00,32,Theory
110,65,1,11:15,12:15,32,Theory
111,65,3,16:15,17:15,33,Theory
112,65,4,12:15,13:15,33,Theory
113,66,3,09:00,11:00,38,Lab
114,67,4,11:15,13:15,38,Lab
115,68,0,12:15,13:15,33,Theory
116,68,2,14:00,15:00,33,Theory
117,69,2,09:00,11:00,39,Lab
118,70,3,11:15,13:15,38,Lab
119,71,1,12:15,13:15,32,Theory
120,71,3,15:00,16:00,33,Theory
121,72,0,10:00,11:00,33,Theory
122,73,2,11:15,13:15,38,Lab
123,74,3,14:00,16:00,38,Lab
124,75,1,15:00,16:00,33,Theory
125,76,0,16:15,17:15,32,Theory
126,76,3,14:00,15:00,33,Theory
127,78,0,11:15,12:15,44,Theory
128,78,2,09:00,10:00,44,Theory
129,78,4,15:00,16:00,44,Theory
130,79,1,09:00,10:00,44,Theory
131,79,3,14:00,15:00,44,Theory
132,79,5,16:15,17:15,44,Theory
133,80,0,12:15,13:15,44,Theory
134,80,2,14:00,15:00,44,Theory
135,80,3,15:00,16:00,44,Theory
136,81,1,12:15,13:15,44,Theory
137,81,2,10:00,11:00,44,Theory
138,81,4,10:00,11:00,44,Theory
139,82,3,11:15,13:15,50,Lab
140,83,4,14:00,16:00,50,Lab
